Date,Price,Open,High,Low,Vol.,Change %
"Oct 31, 2019",50.6,53.8,53.8,50,2.43M,-5.07%
"Oct 30, 2019",53.3,55.4,55.4,52.5,841.52K,-2.20%
"Oct 29, 2019",54.5,56.4,56.4,54.2,515.91K,-2.33%
"Oct 28, 2019",55.8,56,56,55.5,258.39K,0.36%
"Oct 27, 2019",55.6,56.2,56.2,55.5,207.31K,-2.11%
"Oct 24, 2019",56.8,56.2,57.4,56.2,643.17K,0.35%
"Oct 23, 2019",56.6,56.8,57,56.4,673.06K,-1.05%
"Oct 22, 2019",57.2,58.5,58.5,56.9,914.61K,-2.22%
"Oct 21, 2019",58.5,59.1,59.1,58.2,581.97K,-0.85%
"Oct 20, 2019",59,58.6,59.8,58.6,67.59K,0.51%
"Oct 17, 2019",58.7,59,59.4,58.4,334.85K,-0.51%
"Oct 16, 2019",59,59.5,60,58.6,281.65K,-1.83%
"Oct 15, 2019",60.1,60.3,60.8,59.1,372.53K,-0.33%
"Oct 14, 2019",60.3,60.5,61,60,724.87K,-0.33%
"Oct 13, 2019",60.5,60.6,60.8,60.3,158.35K,-0.49%
"Oct 10, 2019",60.8,61.3,61.5,60.8,265.99K,-1.14%
"Oct 09, 2019",61.5,61.3,61.7,61.1,346.23K,0.33%
"Oct 07, 2019",61.3,61.6,61.8,60.9,70.13K,-0.49%
"Oct 06, 2019",61.6,61.9,61.9,61.2,125.20K,0.00%
"Oct 03, 2019",61.6,61.9,61.9,61.5,101.99K,0.00%
"Oct 02, 2019",61.6,61.9,62,61.4,143.16K,0.16%
"Oct 01, 2019",61.5,61.1,61.8,61.1,131.24K,0.00%
"Sep 30, 2019",61.5,61.6,62,60.9,523.79K,-0.32%
"Sep 29, 2019",61.7,61,62.2,60.7,193.57K,1.31%
"Sep 26, 2019",60.9,61.5,62.1,60.3,382.04K,-0.49%
"Sep 25, 2019",61.2,62.4,62.4,60.4,250.51K,-1.92%
"Sep 24, 2019",62.4,62.5,62.8,62,807.30K,0.16%
"Sep 23, 2019",62.3,60,62.6,60,1.55M,4.18%
"Sep 22, 2019",59.8,59.4,60.3,58.4,326.92K,1.01%
"Sep 19, 2019",59.2,59.5,59.8,59.1,662.57K,-0.50%
"Sep 18, 2019",59.5,60,60.1,59.4,492.65K,0.17%
"Sep 17, 2019",59.4,59.6,60,59,1.38M,0.00%
"Sep 16, 2019",59.4,58,60.1,57.5,1.19M,2.59%
"Sep 15, 2019",57.9,57.6,58,57,203.17K,0.87%
"Sep 12, 2019",57.4,55.9,57.8,55.9,363.69K,2.50%
"Sep 11, 2019",56,56.5,56.5,55.9,572.48K,-0.88%
"Sep 09, 2019",56.5,57.4,58.4,56.2,541.01K,-1.57%
"Sep 08, 2019",57.4,58,58.3,57,240.47K,-0.35%
"Sep 05, 2019",57.6,57.7,57.8,57.1,175.04K,1.05%
"Sep 04, 2019",57,56.1,57.5,56,1.63M,1.60%
"Sep 03, 2019",56.1,57.8,58.3,56,857.37K,-1.41%
"Sep 02, 2019",56.9,58.9,58.9,56.5,846.00K,-1.90%
"Sep 01, 2019",58,58,59,57.5,536.65K,0.17%
"Aug 29, 2019",57.9,59.6,60,57.7,484.42K,-2.69%
"Aug 28, 2019",59.5,60.6,61.4,59.1,404.09K,-1.82%
"Aug 27, 2019",60.6,60.5,61.1,60.3,733.54K,0.83%
"Aug 26, 2019",60.1,60.9,60.9,60,344.56K,-1.31%
"Aug 25, 2019",60.9,61.5,62.4,60.8,379.46K,-0.16%
"Aug 22, 2019",61,61,61.8,60.8,240.70K,-0.16%
"Aug 21, 2019",61.1,60.8,62.3,60.8,731.86K,0.33%
"Aug 20, 2019",60.9,61.5,62,60.8,435.59K,-0.33%
"Aug 19, 2019",61.1,61.9,61.9,61,413.47K,0.16%
"Aug 18, 2019",61,60.8,62.9,60.8,400.38K,-0.97%
"Aug 08, 2019",61.6,61.4,62.9,61.4,778.81K,-0.96%
"Aug 07, 2019",62.2,62.5,62.9,61.8,611.54K,0.32%
"Aug 06, 2019",62,62.5,62.5,61.6,942.18K,-0.32%
"Aug 05, 2019",62.2,62,62.9,61.8,1.05M,-0.48%
"Aug 04, 2019",62.5,63,63,62.2,213.74K,-0.32%
"Aug 01, 2019",62.7,62.8,63.2,62.6,453.21K,-0.32%
"Jul 31, 2019",62.9,62.6,63.5,62.5,523.92K,0.48%
"Jul 30, 2019",62.6,62.8,63.5,62.2,214.36K,-0.32%
"Jul 29, 2019",62.8,62.6,63.7,62.5,252.17K,-0.48%
"Jul 28, 2019",63.1,62.5,63.8,62.1,303.50K,0.64%
"Jul 25, 2019",62.7,62.4,63.4,62,1.16M,0.48%
"Jul 24, 2019",62.4,62,63,61,601.34K,-0.48%
"Jul 23, 2019",62.7,60.5,63.3,60.5,912.76K,2.45%
"Jul 22, 2019",61.2,61.9,62.4,60.8,575.99K,-1.13%
"Jul 21, 2019",61.9,61.1,62.3,61.1,342.72K,0.49%
"Jul 18, 2019",61.6,61.4,61.9,61.2,502.01K,0.00%
"Jul 17, 2019",61.6,61.1,62,61.1,155.86K,0.49%
"Jul 16, 2019",61.3,60.7,62,60.6,1.53M,0.82%
"Jul 15, 2019",60.8,61.7,61.7,60.5,553.02K,-1.46%
"Jul 14, 2019",61.7,62.5,62.5,61,312.58K,-1.28%
"Jul 11, 2019",62.5,63,63,62.3,192.11K,0.81%
"Jul 10, 2019",62,63.1,63.1,61.8,510.17K,-2.36%
"Jul 09, 2019",63.5,62,63.8,62,253.59K,1.93%
"Jul 08, 2019",62.3,63.6,63.6,62,852.78K,-1.89%
"Jul 07, 2019",63.5,64.2,64.4,63.1,132.14K,-1.70%
"Jul 04, 2019",64.6,64.1,65.9,63.3,409.98K,0.78%
"Jul 03, 2019",64.1,64.9,65,63.9,877.55K,-1.38%
"Jul 02, 2019",65,65.4,65.6,64.7,388.38K,-1.66%
"Jun 30, 2019",66.1,66.1,67,65.2,663.13K,-0.75%
"Jun 27, 2019",66.6,65,67,64.9,1.43M,2.78%
"Jun 26, 2019",64.8,64.2,65,64.2,927.35K,0.93%
"Jun 25, 2019",64.2,63.9,64.6,63.7,1.30M,0.78%
"Jun 24, 2019",63.7,63.7,64.4,63.4,1.47M,0.00%
"Jun 23, 2019",63.7,63.1,63.9,63.1,347.67K,0.79%
"Jun 20, 2019",63.2,63,63.5,62.7,400.83K,0.48%
"Jun 19, 2019",62.9,63,63.5,62.8,892.08K,-0.16%
"Jun 18, 2019",63,63.1,63.5,62.6,1.04M,-0.16%
"Jun 17, 2019",63.1,64.1,64.2,62.9,518.90K,-1.71%
"Jun 16, 2019",64.2,65,65.4,63.5,670.68K,-0.31%
"Jun 13, 2019",64.4,64.5,64.9,64,561.72K,-0.31%
"Jun 12, 2019",64.6,65.9,66,64,1.19M,-1.37%
"Jun 11, 2019",65.5,64.5,66.3,64.1,1.75M,2.02%
